rank,k,region_k,missing_rssi,weight_power,use_region_filter,mean_error_m,median_error_m,p90_error_m,max_error_m,nearest_mean_error_m,samples
277,15,20,-105.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
278,15,20,-105.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
279,15,30,-105.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
280,15,30,-105.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
281,15,3,-100.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
282,15,3,-100.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
283,15,5,-100.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
284,15,5,-100.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
285,15,8,-100.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
286,15,8,-100.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
287,15,10,-100.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
288,15,10,-100.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
289,15,15,-100.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
290,15,15,-100.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
291,15,20,-100.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
292,15,20,-100.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
293,15,30,-100.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
294,15,30,-100.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
295,15,3,-95.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
296,15,3,-95.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
297,15,5,-95.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
298,15,5,-95.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
299,15,8,-95.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
